,Data.ID,Location,Level,Nation.code,State.code,County.code,Crop,Qualifier,Crop.name.in.original.data,Plant.start,Plant.start.date,Plant.end,Plant.end.date,Plant.median,Plant.range,Harvest.start,Harvest.start.date,Harvest.end,Harvest.end.date,Harvest.median,Harvest.range,Source,Notes,X,full.crop.name,location.code,tot.days,lat.avg,lon.avg,harvested.area,tmin.day.avg,temp.average,precip.average,temp.min,precip.min,temp.max,precip.max,temp.min.month,precip.min.month,temp.max.month,precip.max.month,temp.at.planting,precip.at.planting,sunfrac.at.planting,daylength.at.planting,dsw.at.planting,precip.over.pet.min,precip.over.pet.min.day,precip.over.pet.max,precip.over.pet.max.day,precip.over.pet.at.planting,apr.to.sept.temp.anomaly,apr.to.sept.precip.frac,gdd.base.0.between.plant.and.harvest,gdd.base.4.between.plant.and.harvest,gdd.base.5.between.plant.and.harvest,gdd.base.8.between.plant.and.harvest,gdd.base.10.between.plant.and.harvest,gdd.base.0,gdd.base.4,gdd.base.5,gdd.base.8,gdd.base.10,gdd.base.0.from.plant.until.cold,gdd.base.4.from.plant.until.cold,gdd.base.5.from.plant.until.cold,gdd.base.8.from.plant.until.cold,gdd.base.10.from.plant.until.cold,ndays.growing.season.below.0,ndays.growing.season.below.5,ndays.growing.season.below.10,ndays.growing.season.below.12,ndays.growing.season.below.15,ndays.growing.season.below.17,ndays.below.0,ndays.below.5,ndays.below.10,ndays.below.12,ndays.below.15,ndays.below.17,LGP,LGP.T,LGP.P,LGP.tmin5.tmax100,LGP.T.tmin5.tmax100,LGP.P.tmin5.tmax100,temp.growing.season,precip.growing.season,ndays.since.snowfrac_0.5,ndays.since.snowfrac_0.1,ndays.since.snowfrac_0.05,ndays.since.snowfrac_0,climate.category,misclassified,climate.category.string
555,661,Argentina,N,226,NA,NA,Sunflower,,Sunflower,246,3-Sep,360,26-Dec,303,115,46,15-Feb,136,16-May,91,91,MWCACP Updates,Planted earliest in northern cropping zones,NA,Sunflower,226,153,-35.18579051,-61.83428519,27774.80994,-8.326469901,16.27640011,66.68876476,9.384501541,27.95934268,23.39055616,105.465357,7,8,1,3,17.71811455,83.78392658,0.620850234,14.37363432,256.6081911,0.460679328,228,0.941197057,147,0.555475486,-4.295355084,0.635504851,3250.367863,2638.367863,2485.367863,2026.367863,1720.367863,5929.462389,4469.462389,4104.462389,3009.462389,2302.639744,NA,NA,NA,NA,1993.234969,0,0,0,0,0,0,0,0,49,100,161,197,215,316,264,264,365,264,21.2442344,92.10566824,NA,NA,NA,NA,2,FALSE,2
1273,1547,New South Wales,S,202,251,NA,Rice,,Rice,274,1-Oct,304,31-Oct,289,31,60,1-Mar,151,31-May,105.5,92,FAS Australia,,NA,Rice,251,181.5,-34.44478862,145.3585127,1367.643101,-3.718994399,16.61607238,37.0192464,8.755810621,28.4321761,24.35759217,45.53386397,7,2,2,10,16.41009263,45.31022196,0.643946114,13.82357548,243.4397588,0.153721243,45,0.913897652,186,0.328528536,-4.769150597,1.046830393,3896.592726,3168.592726,2986.592726,2440.592726,2076.592726,6050.780153,4590.780153,4225.780153,3130.780153,2442.802994,NA,NA,NA,NA,2249.693767,0,0,0,0,0,9,0,0,58,106,159,192,29,260,130,130,365,130,21.40985015,34.4936819,NA,NA,NA,NA,2,FALSE,2
696,862,Argentina,N,226,NA,NA,Wheat,Winter,Winter Wheat,127,7-May,233,21-Aug,180,107,304,31-Oct,22,22-Jan,345.5,84,Avg GMu,,NA,Wheat.Winter,226,165.5,-34.42373951,-61.75575303,60174.53435,-8.054645953,16.62046733,70.2292453,9.819010997,28.10192144,23.64466617,115.5218939,7,8,1,3,9.869094786,30.72622587,0.475850348,10.80082388,91.62954107,0.446072185,228,0.891258131,75,0.809602025,-4.22290684,0.6021053,2436.555158,1772.555158,1606.555158,1108.555158,779.5133977,6055.215063,4595.215063,4230.215063,3135.215063,2409.741795,NA,NA,NA,NA,0,0,0,21,59,93,113,0,0,36,92,153,191,336,365,336,336,365,336,14.67804312,59.3320023,NA,NA,NA,NA,2,TRUE,2X
1285,1559,South Australia,S,202,254,NA,Barley,Winter,Barley,121,1-May,212,31-Jul,166.5,92,305,1-Nov,31,31-Jan,350.5,92,FAS Australia,,NA,Barley.Winter,254,184,-34.14739736,138.2332002,10764.35301,-1.578912056,16.23230331,32.82646205,10.20848212,15.79551086,22.47368138,51.49921243,7,1,2,7,10.86955473,44.7778497,0.518159315,10.80920215,96.30042408,0.078937715,16,1.185273705,188,1.092461757,-3.681199667,1.325009586,2579.297563,1843.297563,1659.297563,1107.297563,739.2975635,5913.326225,4453.326225,4088.326225,2993.326225,2263.326225,NA,NA,NA,NA,NA,0,0,0,77,115,137,0,0,0,91,160,200,132,365,132,132,365,132,14.01792154,39.0031506,NA,NA,NA,NA,2,TRUE,2X
533,632,Uruguay,N,232,NA,NA,Potatoes,,Potato,192,11-Jul,262,19-Sep,227,71,313,9-Nov,50,19-Feb,364,103,GIEWS,,NA,Potatoes,232,137,-34.10713873,-56.34992673,95.37041526,-3.808286311,17.15828533,91.56465706,11.15720112,81.68545274,23.69734401,105.2284339,7,12,1,2,12.06926628,82.59472597,0.491402897,11.70491741,128.2166669,0.432618452,350,2.167931205,175,1.355069295,-3.718247656,0.955330538,2357.546398,1809.546398,1672.546398,1261.546398,987.5463984,6251.678055,4791.678055,4426.678055,3331.678055,2601.678055,NA,NA,NA,NA,NA,0,0,0,0,46,69,0,0,0,64,144,186,311,365,311,311,365,311,17.20836787,90.34411788,NA,NA,NA,NA,2,FALSE,2
1286,1560,South Australia,S,202,254,NA,Oats,Winter,Oats,91,1-Apr,181,30-Jun,136,91,305,1-Nov,31,31-Jan,350.5,92,FAS Australia,,NA,Oats.Winter,254,214.5,-34.08404682,137.959401,1367.008354,-1.669530592,16.26656708,32.89363166,10.29786506,15.47494711,22.44004334,52.33923466,7,1,2,7,13.40032102,45.03952409,0.541979414,11.2248028,115.7075836,0.07738266,16,1.19120138,188,0.819402895,-3.640937069,1.332985608,2970.583511,2110.583511,1895.583511,1250.583511,820.5835109,5925.951253,4465.951253,4100.951253,3005.951253,2275.951253,NA,NA,NA,NA,NA,0,0,0,89,145,167,0,0,0,89,159,199,132,365,132,132,365,132,13.81666749,39.99562209,NA,NA,NA,NA,2,TRUE,2X
1284,1558,South Australia,S,202,254,NA,Wheat,,Wheat,91,1-Apr,181,30-Jun,136,91,305,1-Nov,31,31-Jan,350.5,92,FAS Australia,,NA,Wheat,254,214.5,-33.87236313,137.5285735,16802.06936,-1.69362572,16.37228698,32.29492692,10.41266115,14.77318412,22.50934193,52.09626658,7,1,2,7,13.52707318,44.36661044,0.550462885,11.23657289,117.3886551,0.073587281,16,1.160304789,189,0.792302257,-3.630086923,1.34119299,2994.902595,2134.902595,1919.902595,1274.902595,844.9025955,5964.590455,4504.590455,4139.590455,3044.590455,2314.590455,NA,NA,NA,NA,NA,0,0,0,85,143,166,0,0,0,85,156,197,130,365,130,130,365,130,13.92977951,39.36885503,NA,NA,NA,NA,2,TRUE,2X
92,114,Chile,N,219,NA,NA,Maize,,Maize,253,10-Sep,353,19-Dec,303,101,40,9-Feb,140,20-May,90,101,GIEWS,,NA,Maize,219,152,-33.777927,-71.30295419,915.3518585,-6.677571824,12.87889708,50.69469207,8.002067771,5.800733595,18.39286444,138.3482175,7,1,1,7,13.60636806,21.90106749,0.644627535,14.28449351,263.3313791,0.030149237,16,3.858768297,174,0.155615932,-3.170214778,1.741251081,2527.174424,1919.174424,1767.174424,1311.174424,1007.174424,4691.928375,3231.928375,2866.928375,1771.928375,1189.413446,NA,NA,NA,NA,1104.68037,0,0,0,0,26,78,0,0,115,168,239,291,39,251,153,153,365,153,16.62614753,11.05676485,NA,NA,NA,NA,2,FALSE,2
21,25,Argentina,N,226,NA,NA,Millet,,Millet,254,11-Sep,349,15-Dec,301.5,96,349,15-Dec,141,21-May,62.5,158,GIEWS,,NA,Millet,226,126,-33.63743118,-62.07843895,267.1168935,-7.984627349,17.06813929,70.24041656,10.25578674,27.63551626,23.97673706,115.3069424,7,8,1,3,18.45074825,87.63588109,0.617192353,14.224935,255.2856192,0.418386084,228,0.872505418,75,0.574146693,-4.210436057,0.585538686,2802.157703,2298.157703,2172.157703,1794.157703,1542.157703,6218.798277,4758.798277,4393.798277,3298.798277,2568.798277,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,81,144,181,319,365,319,319,365,319,22.23934685,99.51075108,NA,NA,NA,NA,2,FALSE,2
1398,1681,Argentina,N,226,NA,NA,Oats,Winter,Oats,182,1-Jul,223,11-Aug,202.5,42,305,1-Nov,365,31-Dec,335,61,Crop Explorer,,NA,Oats.Winter,226,132.5,-33.63578182,-62.07655593,2990.386496,-7.98298988,17.06922907,70.25874378,10.25727712,27.65501925,23.97728761,115.3120021,7,8,1,3,10.52897241,28.24815007,0.531789214,11.1363128,110.5525139,0.41865521,228,0.872541639,75,0.588005494,-4.210193059,0.585696514,2058.741957,1526.741957,1393.741957,994.7419567,728.7419567,6219.196679,4759.196679,4394.196679,3299.196679,2569.196679,NA,NA,NA,NA,NA,0,0,0,29,65,85,0,0,0,81,144,181,319,365,319,319,365,319,15.47926283,60.90800574,NA,NA,NA,NA,2,TRUE,2X
558,664,Argentina,N,226,NA,NA,Groundnuts,,Peanut,269,26-Sep,364,30-Dec,316.5,96,58,27-Feb,179,28-Jun,118.5,122,MWCACP Updates,,NA,Groundnuts,226,167,-33.58918043,-63.8543071,2658.569067,-8.160098618,17.21843513,64.42168107,10.09770232,16.5269317,24.04166946,116.829676,7,7,1,12,20.41075148,99.18800496,0.651013744,14.70292038,279.8412581,0.256296581,227,0.824011018,75,0.567646495,-4.275025711,0.43819297,3596.331801,2928.331801,2761.331801,2260.331801,1926.331801,6273.629586,4813.629586,4448.629586,3353.629586,2623.629586,NA,NA,NA,NA,NA,0,0,0,0,0,10,0,0,0,79,140,177,219,365,219,219,365,219,21.53492096,95.79702534,NA,NA,NA,NA,2,FALSE,2
530,629,Uruguay,N,232,NA,NA,Maize,,Maize,213,1-Aug,365,31-Dec,289,153,80,21-Mar,131,11-May,105.5,52,GIEWS,,NA,Maize,232,181.5,-33.57481283,-57.00182702,526.2089101,-4.19244414,17.45563587,92.27952733,11.36259952,78.38188744,24.1221138,113.8616711,7,6,1,3,16.82950491,100.826675,0.573044814,13.78592282,229.4647105,0.465941101,349,1.975109688,176,0.764457937,-3.829320152,0.905027884,3886.430928,3158.430928,2976.430928,2430.430928,2066.430928,6360.242401,4900.242401,4535.242401,3440.242401,2710.242401,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,0,0,54,138,180,331,365,331,331,365,331,21.35401609,99.72777883,NA,NA,NA,NA,2,FALSE,2
532,631,Uruguay,N,232,NA,NA,Sorghum,,Sorghum,274,1-Oct,353,19-Dec,313.5,80,81,22-Mar,151,31-May,116,71,GIEWS,,NA,Sorghum,232,167.5,-33.50677305,-57.23594018,254.2602242,-4.148567857,17.52322209,91.55817356,11.40196621,75.76585843,24.19170188,115.616452,7,6,1,3,19.30335874,91.09358269,0.589510245,14.60636947,261.9928014,0.472059626,349,1.900202607,176,0.568089642,-3.845756327,0.889169771,3635.931604,2963.931604,2795.931604,2291.931604,1955.931604,6384.926957,4924.926957,4559.926957,3464.926957,2734.926957,NA,NA,NA,NA,NA,0,0,0,0,0,5,0,0,0,53,136,178,335,365,335,335,365,335,21.64245002,100.0532642,NA,NA,NA,NA,2,FALSE,2
529,628,Uruguay,N,232,NA,NA,Barley,Winter,Barley,161,10-Jun,202,21-Jul,181.5,42,313,9-Nov,18,18-Jan,348,71,GIEWS,Not sure if this should really be classified as Winter,NA,Barley.Winter,232,166.5,-33.33315095,-57.61286815,995.9030444,-4.403296187,17.62753634,91.02995045,11.44553059,72.46585947,24.4090956,119.3982179,7,6,1,3,11.54280949,73.38890522,0.454626604,10.88766519,93.44501222,0.481109162,349,1.796014049,174,1.777698914,-3.915140736,0.864558191,2628.196137,1960.196137,1793.196137,1292.196137,958.1961372,6422.958341,4962.958341,4597.958341,3502.958341,2772.958341,NA,NA,NA,NA,NA,0,0,0,32,84,106,0,0,0,51,134,176,342,365,342,342,365,342,15.73770142,85.49445447,NA,NA,NA,NA,2,TRUE,2X
528,627,Uruguay,N,232,NA,NA,Wheat,Winter,Wheat,121,1-May,243,31-Aug,182,123,313,9-Nov,8,8-Jan,343,61,GIEWS,,NA,Wheat.Winter,232,161,-33.22146454,-57.63621091,1671.605358,-4.677205317,17.68421308,91.86929059,11.48040679,72.8151733,24.54847917,120.9139295,7,6,1,3,11.55691283,73.96612313,0.456108976,10.89875125,94.06446599,0.488676335,349,1.796757588,174,1.777177001,-3.95288979,0.862294011,2508.562665,1864.562665,1703.562665,1220.562665,898.5626653,6443.587908,4983.587908,4618.587908,3523.587908,2793.587908,NA,NA,NA,NA,NA,0,0,0,30,83,105,0,0,0,50,134,175,349,365,349,349,365,349,15.58113457,85.73541675,NA,NA,NA,NA,2,TRUE,2X
534,633,Uruguay,N,232,NA,NA,Sweet.Potatoes,,Sweet Potato,222,10-Aug,263,20-Sep,242.5,42,344,10-Dec,18,18-Jan,363.5,40,GIEWS,,NA,Sweet.Potatoes,232,121,-33.18922595,-56.65661253,62.56115297,-4.267912388,17.61742069,95.77754094,11.59495305,83.11930544,24.22685693,115.5726605,7,8,1,3,13.48241216,88.84792874,0.507134637,12.19623433,152.6043155,0.472179365,349,2.066092981,175,1.146159204,-3.79282228,0.919714851,2225.043979,1741.043979,1620.043979,1257.043979,1015.043979,6419.41232,4959.41232,4594.41232,3499.41232,2769.41232,NA,NA,NA,NA,NA,0,0,0,0,23,46,0,0,0,45,133,176,340,365,340,340,365,340,18.38879321,95.41926969,NA,NA,NA,NA,2,FALSE,2
694,860,Argentina,N,226,NA,NA,Maize,,Corn,252,9-Sep,340,6-Dec,296,89,60,1-Mar,150,30-May,105,91,Avg GMu,,NA,Maize,226,174,-33.1240612,-61.96391673,28001.50712,-7.695875703,17.31579219,73.64225957,10.59792283,28.17788885,24.09431291,121.6796726,7,8,1,3,18.12549242,91.30557029,0.606103468,14.00851364,246.4172924,0.415649163,228,0.911174476,75,0.624863392,-4.138879599,0.565625427,3761.780449,3065.780449,2891.780449,2369.780449,2021.780449,6309.363705,4849.363705,4484.363705,3389.363705,2659.363705,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,74,138,177,318,365,318,318,365,318,21.61942787,104.8105535,NA,NA,NA,NA,2,FALSE,2
1270,1544,New South Wales,S,202,251,NA,Maize,,Corn,244,1-Sep,31,31-Jan,320,153,1,1-Jan,212,31-Jul,106.5,212,FAS Australia,,NA,Maize,251,151.5,-32.98232368,147.3929585,314.3047201,-4.782429335,16.78690872,47.15056035,8.817304055,38.24734409,24.35047021,61.0004728,7,6,1,1,19.94555836,44.07384277,0.659807991,14.75376605,285.3337016,0.244688714,341,0.924841096,183,0.249369714,-4.768797742,0.908286407,3374.573372,2766.573372,2614.573372,2158.573372,1854.573372,6113.417466,4653.417466,4288.417466,3193.417466,2499.397869,NA,NA,NA,NA,2033.575119,0,0,0,0,0,2,0,0,56,102,154,186,77,309,133,133,365,133,22.2011406,50.83097028,NA,NA,NA,NA,2,FALSE,2
1275,1549,New South Wales,S,202,251,NA,Millet,,Broom Millet,244,1-Sep,334,30-Nov,289,91,1,1-Jan,151,31-May,76,151,FAS Australia,,NA,Millet,251,152,-32.72959608,147.853435,39.41328538,-4.847749273,16.59331864,52.2128169,8.753440311,40.56994396,23.96479406,69.6269959,7,9,1,1,16.66610172,58.52035174,0.649722972,13.7503207,247.1701375,0.274876354,349,0.989402572,179,0.414449538,-4.664376997,0.882474137,3305.589383,2697.589383,2545.589383,2089.589383,1785.589383,6043.11992,4583.11992,4218.11992,3123.11992,2432.280572,NA,NA,NA,NA,2231.766614,0,0,0,0,0,3,0,0,58,103,156,188,85,307,143,143,365,143,21.74729857,58.50515079,NA,NA,NA,NA,2,FALSE,2
1269,1543,New South Wales,S,202,251,NA,Barley,Winter,Barley,121,1-May,151,31-May,136,31,274,1-Oct,365,31-Dec,319.5,92,FAS Australia,,NA,Barley.Winter,251,183.5,-32.5731102,147.5181874,7010.219935,-5.266520475,16.77450659,47.24643883,8.714628931,36.45729949,24.38568851,64.11009052,7,6,1,1,12.79441607,48.35896695,0.574016852,11.30782991,124.6148016,0.246360536,349,0.903608899,190,0.823797363,-4.821507678,0.894547153,2302.844294,1566.844294,1382.844294,830.8442939,504.0994744,6108.858013,4648.858013,4283.858013,3188.858013,2500.113194,NA,NA,NA,NA,37.50864116,0,0,59,103,138,154,0,0,59,103,154,185,72,306,131,131,365,131,12.51545812,44.33868026,NA,NA,NA,NA,2,TRUE,2X
536,635,Uruguay,N,232,NA,NA,Soybeans,,Soybean,274,1-Oct,353,19-Dec,313.5,80,81,22-Mar,141,21-May,111,61,GIEWS,,NA,Soybeans,232,162.5,-32.51967752,-56.25234561,225.7167503,-4.581118763,17.87124006,101.1901875,11.94208261,88.58654236,24.45297167,121.0165518,7,8,1,3,19.59299305,102.2456112,0.591017697,14.53361765,262.6702091,0.477443119,350,2.179402477,169,0.631748844,-3.75647723,0.933489975,3590.959419,2938.959419,2775.959419,2286.959419,1960.959419,6512.231702,5052.231702,4687.231702,3592.231702,2862.231702,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,32,127,170,349,365,349,349,365,349,22.03042588,107.1440312,NA,NA,NA,NA,2,FALSE,2
531,630,Uruguay,N,232,NA,NA,Rice,,Rice,274,1-Oct,353,19-Dec,313.5,80,70,11-Mar,151,31-May,110.5,82,GIEWS,,NA,Rice,232,162,-32.48622662,-54.91422659,1472.811037,-4.061814405,17.80830752,105.6996569,12.14326373,88.69609417,23.98757674,118.5986392,7,12,1,2,19.26117278,100.9205253,0.574129894,14.53119007,258.5878433,0.467120949,350,2.474419087,178,0.637116696,-3.53363902,0.993588549,3532.70874,2884.70874,2722.70874,2236.70874,1912.70874,6489.542166,5029.542166,4664.542166,3569.542166,2839.542166,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,125,170,346,365,346,346,365,346,21.80684407,105.7072209,NA,NA,NA,NA,2,FALSE,2
